"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,95.367431640625
105.497635804178,104.904174804687
111.297511602709,114.44091796875
117.416243449738,114.44091796875
123.871360889551,123.977661132812
130.681357176937,133.514404296875
137.865742258481,133.514404296875
145.445098666579,143.051147460938
153.441140486294,152.587890625
161.876775564007,162.124633789062
170.776171136062,171.661376953125
180.164823065441,181.198120117187
190.06962888482,190.73486328125
200.518964855259,200.271606445312
211.542767261308,209.808349609375
223.172618175414,219.345092773438
235.441835937346,238.418579101563
248.38557060785,247.955322265625
262.040904669998,257.492065429687
276.446959266726,276.565551757813
291.645006278934,295.639038085937
307.67858656522,305.17578125
324.593634702017,324.249267578125
342.438610581477,343.32275390625
361.264638244132,362.396240234375
381.125652344074,381.4697265625
402.078552666247,400.543212890625
424.183367138545,419.61669921875
447.50342380572,448.226928710938
472.105532257783,476.837158203125
498.06017503269,495.91064453125
525.441709541636,524.520874023438
554.32858109548,553.131103515625
584.803547642574,581.741333007813
616.953916861873,619.888305664062
650.871796290546,648.49853515625
686.654357202709,686.6455078125
724.40411299523,724.79248046875
764.229212878191,762.939453125
806.243751711366,810.623168945312
850.568096874394,848.770141601563
897.329233107072,896.453857421875
946.661126307718,944.137512207031
998.705107331842,1001.35803222656
1053.61027689067,1049.04174804687
1111.5339327095,1115.79895019531
1172.64202016972,1173.01928710937
1237.1096077254,1239.77661132812
1305.12138845664,1306.53381347656
1376.87220919641,1373.291015625
1452.56762874696,1449.5849609375
1532.42450678484,1535.41564941406
1616.67162514184,1621.24633789062
1705.55034324161,1707.07702636719
1799.31528956994,1802.44445800781
1898.23509115937,1897.81188964844
2002.59314317841,2002.71606445312
2112.68842082979,2117.15673828125
2228.83633588405,2231.59790039062
2351.36964030213,2355.57568359375
2480.63937953594,2479.55322265625
2617.01589823783,2613.06762695313
2760.88990126037,2765.65551757812
2912.67357298598,2908.70654296875
3072.80175819328,3070.83129882812
3241.73320784311,3242.49267578125
3419.9518933534,3423.69091796875
3607.96839312805,3604.88891601562
3806.32135531206,3805.16064453125
4015.57904096375,4014.96875
4236.34095206483,4234.3134765625
4469.23954903258,4472.732421875
4714.94206265465,4711.1513671875
4974.15240563738,4978.1796875
5247.61318924406,5245.208984375
5536.10785080068,5540.84765625
5840.46289816419,5836.48681640625
6161.55027758336,6160.736328125
6500.28987173619,6504.05859375
6857.65213510008,6856.91845703125
7234.66087420529,7238.38818359375
7632.39618073642,7629.39453125
8051.99752588526,8049.01123046875
8494.66702481982,8497.23828125
8961.67288062198,8964.5390625
9454.35301756032,9450.912109375
9974.11891410705,9975.43359375
10522.4596466802,10519.02734375
11100.9461556963,11100.76953125
11711.2357461543,11711.12109375
12355.0768356465,12359.619140625
13034.3139633967,13036.7275390625
13750.8930746773,13751.9833984375
14506.8670957449,14505.38671875
15304.401815265,15306.47265625
16145.7820890762,16145.7060546875
17033.4183860697,17032.623046875
17969.8536939377,17967.224609375
18957.7708045739,18959.044921875
20000.0000000001,19998.55078125

"Sweep - Function 2" 
"Phase vs Frequency"
"X (Hz)","Ch-1 (deg)"
100,-121.952949523926
105.497635804178,-3.61322021484375
111.297511602709,-3.83102416992188
117.416243449738,-4.04692840576172
123.871360889551,-4.28945159912109
130.681357176937,-4.52606773376465
137.865742258481,-4.79549598693848
145.445098666579,-5.084716796875
153.441140486294,-5.35137939453125
161.876775564007,-5.67716979980469
170.776171136062,-6.04541015625
180.164823065441,-6.36727905273437
190.06962888482,-6.69754028320313
200.518964855259,-7.10117626190186
211.542767261308,-7.51999282836914
223.172618175414,-7.95805358886719
235.441835937346,-8.3592529296875
248.38557060785,-8.8448486328125
262.040904669998,-9.35882568359375
276.446959266726,-9.91703414916992
291.645006278934,-10.478271484375
307.67858656522,-11.010856628418
324.593634702017,-11.6137523651123
342.438610581477,-12.2931137084961
361.264638244132,-13.0230407714844
381.125652344074,-13.7247505187988
402.078552666247,-14.4809169769287
424.183367138545,-15.2108154296875
447.50342380572,-16.0566825866699
472.105532257783,-16.9482002258301
498.06017503269,-17.9008483886719
525.441709541636,-18.8681030273438
554.32858109548,-19.9229736328125
584.803547642574,-20.9383010864258
616.953916861873,-21.9990291595459
650.871796290546,-23.1219635009766
686.654357202709,-24.3856201171875
724.40411299523,-25.6849613189697
764.229212878191,-26.9593658447266
806.243751711366,-28.4111633300781
850.568096874394,-29.8341522216797
897.329233107072,-31.4095878601074
946.661126307718,-33.1834869384766
998.705107331842,-35.0026550292969
1053.61027689067,-36.9432754516602
1111.5339327095,-38.9602966308594
1172.64202016972,-41.1753692626953
