"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
100,100.006454467773
105.497635804178,105.489074707031
111.297511602709,111.303894042969
117.416243449738,117.426414489746
123.871360889551,123.865859985352
130.681357176937,130.679397583008
137.865742258481,137.867248535156
145.445098666579,145.443725585937
153.441140486294,153.440353393555
161.876775564007,161.877685546875
170.776171136062,170.776000976562
180.164823065441,180.164489746094
190.06962888482,190.071914672852
200.518964855259,200.516967773437
211.542767261308,211.541564941406
223.172618175414,223.173400878906
235.441835937346,235.446380615234
248.38557060785,248.38557434082
262.040904669998,262.034362792969
276.446959266726,276.449371337891
291.645006278934,291.654174804687
307.67858656522,307.675842285156
324.593634702017,324.593322753906
342.438610581477,342.435791015625
361.264638244132,361.261260986328
381.125652344074,381.129425048828
402.078552666247,402.077880859375
424.183367138545,424.188507080078
447.50342380572,447.502716064453
472.105532257783,472.113006591797
498.06017503269,498.055603027344
525.441709541636,525.443603515625
554.32858109548,554.33154296875
584.803547642574,584.803405761719
616.953916861873,616.956604003906
650.871796290546,650.864990234375
686.654357202709,686.642028808594
724.40411299523,724.408142089844
764.229212878191,764.228454589844
806.243751711366,806.243469238281
850.568096874394,850.570434570312
897.329233107072,897.328735351563
946.661126307718,946.645141601563
998.705107331842,998.6982421875
1053.61027689067,1053.60974121094
1111.5339327095,1111.53442382812
1172.64202016972,1173.3154296875
1237.1096077254,1237.10070800781
1305.12138845664,1305.12097167969
1376.87220919641,1376.87158203125
1452.56762874696,1452.56848144531
1532.42450678484,1532.42395019531
1616.67162514184,1616.67248535156
1705.55034324161,1705.5517578125
1799.31528956994,1799.31384277344
1898.23509115937,1898.23596191406
2002.59314317841,2002.60437011719
2112.68842082979,2112.7080078125
2228.83633588405,2228.83764648437
2351.36964030213,2351.3544921875
2480.63937953594,2480.63818359375
2617.01589823783,2617.013671875
2760.88990126037,2760.8876953125
2912.67357298598,2912.6728515625
3072.80175819328,3072.71801757812
3241.73320784311,3241.73120117187
3419.9518933534,3419.9580078125
3607.96839312805,3607.97094726562
3806.32135531206,3806.32348632812
4015.57904096375,4015.58227539062
4236.34095206483,4236.34521484375
4469.23954903258,4469.2158203125
4714.94206265465,4714.90478515625
4974.15240563738,4974.150390625
5247.61318924406,5247.66015625
5536.10785080068,5536.1103515625
5840.46289816419,5840.4658203125
6161.55027758336,6161.54736328125
6500.28987173619,6500.2744140625
6857.65213510008,6857.64697265625
7234.66087420529,7234.67041015625
7632.39618073642,7632.369140625
8051.99752588526,8051.97509765625
8494.66702481982,8494.62890625
8961.67288062198,8961.634765625
9454.35301756032,9454.3984375
9974.11891410705,9974.1728515625
10522.4596466802,10522.501953125
11100.9461556963,11100.8232421875
11711.2357461543,11711.2236328125
12355.0768356465,12355.0859375
13034.3139633967,13034.3291015625
13750.8930746773,13750.83203125
14506.8670957449,14507.1162109375
15304.401815265,15304.2841796875
16145.7820890762,11124.048828125
17033.4183860697,4406.61376953125
17969.8536939377,16992.517578125
18957.7708045739,13352.580078125
20000.0000000001,1256.53149414062

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBr)"
100,-0.00156074023248389
105.497635804178,-0.00169201192448537
111.297511602709,9.79450556297545E-05
117.416243449738,-0.0020930233104755
123.871360889551,-0.00414147451046559
130.681357176937,-0.00510969259323301
